,_id,count,count_with_activity,ratio
626,Auto Air Conditioning Service,83,13.0,15.66
627,Movie Rental Store,82,47.0,57.32
628,Burglar Alarm Store,82,,
629,Movie Theater,82,41.0,50.0
630,Balloon Store,81,4.0,4.94
631,Self Defense School,81,41.0,50.62
632,Miniatures Store,81,9.0,11.11
633,Gyro Restaurant,80,50.0,62.5
634,Lunch Restaurant,80,32.0,40.0
635,Boxing Club,80,33.0,41.25
636,Hair Replacement Service,80,10.0,12.5
637,Burrito Restaurant,80,52.0,65.0
638,Escape Room Center,79,38.0,48.1
639,Glass Repair Service,79,,
640,Brewing Supply Store,79,44.0,55.7
641,Pregnancy Care Center,79,,
642,Childrens Store,79,10.0,12.66
643,Vacuum Cleaner Repair Shop,78,9.0,11.54
644,Warehouse,78,,
645,Health Consultant,78,5.0,6.41
646,Baking Supply Store,78,52.0,66.67
647,Karate School,77,21.0,27.27
648,Nicaraguan Restaurant,77,50.0,64.94
649,Oriental Rug Store,77,10.0,12.99
650,Pet Groomer,77,28.0,36.36
651,Park,77,58.0,75.32
652,Club,77,21.0,27.27
653,Hyundai Dealer,76,72.0,94.74
654,Organic Food Store,76,26.0,34.21
655,Business Center,76,,
656,Indoor Playground,76,27.0,35.53
657,Pipe Supplier,76,23.0,30.26
658,Northern Italian Restaurant,76,51.0,67.11
659,Internet Cafe,75,23.0,30.67
660,Bedding Store,75,3.0,4.0
661,Rheumatologist,74,9.0,12.16
662,Sewing Machine Store,74,41.0,55.41
663,Maternity Store,74,2.0,2.7
664,Doll Store,74,13.0,17.57
665,Notary Public,73,19.0,26.03
666,Model Train Store,72,24.0,33.33
667,Food Store,72,6.0,8.33
668,Atv Dealer,71,33.0,46.48
669,Plant Nursery,70,26.0,37.14
670,Safety Equipment Supplier,70,4.0,5.71
671,Russian Restaurant,70,42.0,60.0
672,Appliance Repair Service,70,3.0,4.29
673,Grocery Delivery Service,70,10.0,14.29
674,Coffee Stand,69,28.0,40.58
